DateTime = 2016-11-03 12:31:37, Type = Error, Line =  1, FileName = C:\Users\Galust\Desktop\New folder\CSV.csv - Copy (12).csv
DateTime = 2016-11-03 12:31:37, Type = Error, Line =  2, FileName = C:\Users\Galust\Desktop\New folder\CSV.csv - Copy (12).csv
DateTime = 2016-11-03 12:31:37, Type = Warning, Line =  20, FileName = C:\Users\Galust\Desktop\New folder\CSV.csv - Copy (12).csv
DateTime = 2016-11-03 23:46:17, Type = Error, Line =  1, FileName = C:\Users\Home\Desktop\New folder\CSV.csv - Copy (2) - Copy.csv
DateTime = 2016-11-03 23:46:17, Type = Error, Line =  2, FileName = C:\Users\Home\Desktop\New folder\CSV.csv - Copy (2) - Copy.csv
DateTime = 2016-11-03 23:46:17, Type = Warning, Line =  20, FileName = C:\Users\Home\Desktop\New folder\CSV.csv - Copy (2) - Copy.csv
DateTime = 2016-11-04 00:35:16, Type = Error, Line =  1, FileName = C:\Users\Home\Desktop\New folder\CSV.csv
DateTime = 2016-11-04 00:53:00, Type = Error, Line =  1, FileName = C:\Users\Home\Desktop\New folder\CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  1, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  2, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  3, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  4, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  5, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  6, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  7, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  8, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  9, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  10, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
DateTime = 2016-11-04 00:53:01, Type = Warning, Line =  11, FileName = C:\Users\Home\Desktop\New folder\20161140530_CSV.csv
